Province,HealthZone,Latitude,Longitude,Row,Column,Hposition
North-Kivu,Alimbongo,-0.365515,29.1911818,92,28,6580
North-Kivu,Beni,0.49113,29.47306,72,35,5147
North-Kivu,Biena,0.57923,29.115633,70,26,4994
North-Kivu,Butembo,0.140692,29.335014,80,32,5720
North-Kivu,Goma,-1.658271,29.220132,123,29,8813
North-Kivu,Kalunguta,0.323085,29.354677,76,32,5432
North-Kivu,Katwa,0.116985,29.371838,81,32,5792
North-Kivu,Kayna,-0.603936,29.174066,98,28,7012
North-Kivu,Kyondo,-0.005622,29.408813,84,33,6009
North-Kivu,Lubero,-0.15633,29.24057,87,29,6221
North-Kivu,Mabalako,0.461257,29.210687,72,29,5141
North-Kivu,Manguredjipa,0.353433,28.765479,75,18,5346
North-Kivu,Masereka,-0.133333,29.333333,87,32,6224
North-Kivu,Musienene,0.04022,29.26246,83,30,5934
North-Kivu,Mutwanga,0.32893,29.74576,76,41,5441
North-Kivu,Nyiragongo,-1.516667,29.25,120,30,8598
North-Kivu,Oicha,0.698681,29.518834,67,36,4788
North-Kivu,Vuhovi,0.1416,29.4075,80,33,5721
Ituri,Ariwara,3.136873,30.706615,8,64,568
Ituri,Bunia,1.566667,30.25,46,54,3294
Ituri,Komanda,1.367496,29.774322,51,42,3642
Ituri,Lolwa,1.352969,29.498455,51,35,3635
Ituri,Mambasa,1.359731,29.029226,51,24,3624
Ituri,Mandima,1.35551,29.08173,51,25,3625
Ituri,Nyakunde,1.431271,30.029283,49,48,3504
Ituri,Rwampara,1.4053,30.3449,50,56,3584
Ituri,Tchomia,1.4412,30.4845,49,59,3515
