Province,HealthZone,Latitude,Longitude,Row,Column,Hposition
North-Kivu,Alimbongo,-0.365515,29.1911818,50,25,1825
North-Kivu,Beni,0.49113,29.47306,39,29,2098
North-Kivu,Biena,0.57923,29.115633,38,24,1742
North-Kivu,Butembo,0.140692,29.335014,44,27,1961
North-Kivu,Goma,-1.658271,29.220132,65,26,1911
North-Kivu,Kalunguta,0.323085,29.354677,41,27,1958
North-Kivu,Katwa,0.116985,29.371838,44,27,1961
North-Kivu,Kayna,-0.603936,29.174066,52,25,1827
North-Kivu,Kyondo,-0.005622,29.408813,45,28,2033
North-Kivu,Lubero,-0.15633,29.24057,47,26,1893
North-Kivu,Mabalako,0.461257,29.210687,40,26,1886
North-Kivu,Manguredjipa,0.353433,28.765479,41,20,1461
North-Kivu,Masereka,-0.133333,29.333333,47,27,1964
North-Kivu,Musienene,0.04022,29.26246,45,26,1891
North-Kivu,Mutwanga,0.32893,29.74576,41,32,2313
North-Kivu,Nyiragongo,-1.516667,29.25,63,26,1909
North-Kivu,Oicha,0.698681,29.518834,37,29,2096
North-Kivu,Pinga,-0.9830504,28.687911,56,19,1405
North-Kivu,Vuhovi,0.1416,29.4075,43,28,2031
Ituri,Ariwara,3.136873,30.706615,8,43,3061
Ituri,Bunia,1.566667,30.25,26,38,2724
Ituri,Komanda,1.367496,29.774322,29,32,2301
Ituri,Lolwa,1.352969,29.498455,29,29,2088
Ituri,Mambasa,1.359731,29.029226,29,23,1662
Ituri,Mandima,1.35551,29.08173,29,24,1733
Ituri,Nyakunde,1.431271,30.029283,28,35,2513
Ituri,Rwampara,1.4053,30.3449,28,39,2797
Ituri,Tchomia,1.4412,30.4845,28,41,2939
