HealthZone,Latitude,Longitude
Alimbongo,-0.365515,29.1911818
Beni,0.49113,29.47306
Biena,0.57923,29.115633
Butembo,0.140692,29.335014
Goma,-1.658271,29.220132
Kalunguta,0.323085,29.354677
Katwa,0.116985,29.411838
Kayna,-0.603936,29.174066
Kyondo,-0.005622,29.408813
Lubero,-0.15633,29.24057
Mabalako,0.461257,29.210687
Manguredjipa,0.353433,28.765479
Masereka,-0.133333,29.333333
Musienene,0.04022,29.26246
Mutwanga,0.32893,29.74576
Nyiragongo,-1.516667,29.25
Oicha,0.698681,29.518834
Pinga,-0.9830504,28.687911
Vuhovi,0.1416,29.4075
Ariwara,3.136873,30.706615
Bunia,1.566667,30.25
Komanda,1.367496,29.774322
Lolwa,1.352969,29.498455
Mambasa,1.359731,29.029226
Mandima,1.35551,29.08173
Nyakunde,1.431271,30.029283
Rwampara,1.4053,30.3449
Tchomia,1.4412,30.4845
