HealthZone,Latitude,Longitude,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Alimbongo,-0.365515,29.1911818,0,0,100,0,0
Beni,0.49113,29.47306,0,0,100,0,0
Biena,0.57923,29.115633,0,0,100,0,0
Butembo,0.140692,29.335014,0,0,100,0,0
Goma,-1.658271,29.220132,0,0,100,0,0
Kalunguta,0.323085,29.354677,0,0,100,0,0
Katwa,0.116985,29.411838,0,0,100,0,0
Kayna,-0.603936,29.174066,0,0,100,0,0
Kyondo,-0.005622,29.408813,0,0,100,0,0
Lubero,-0.15633,29.24057,0,0,100,0,0
Mabalako,0.461257,29.210687,0,0,100,0,0
Manguredjipa,0.353433,28.765479,0,0,100,0,0
Masereka,-0.133333,29.333333,0,0,100,0,0
Musienene,0.04022,29.26246,0,0,100,0,0
Mutwanga,0.32893,29.74576,0,0,100,0,0
Nyiragongo,-1.516667,29.25,0,0,100,0,0
Oicha,0.698681,29.518834,0,0,100,0,0
Pinga,-0.9830504,28.687911,0,0,100,0,0
Vuhovi,0.1416,29.4075,0,0,100,0,0
Ariwara,3.136873,30.706615,0,0,100,0,0
Bunia,1.566667,30.25,0,0,100,0,0
Komanda,1.367496,29.774322,0,0,100,0,0
Lolwa,1.352969,29.498455,0,0,100,0,0
Mambasa,1.359731,29.029226,0,0,100,0,0
Mandima,1.35551,29.08173,0,0,100,0,0
Nyakunde,1.431271,30.029283,0,0,100,0,0
Rwampara,1.4053,30.3449,0,0,100,0,0
Tchomia,1.4412,30.4845,0,0,100,0,0
