"Location","lat","lon","InitialVaccinated","InitialExposed","InitialInfections","InitialRecovered","InitialDead"
"Prague",50.083333,14.416667,1003860,1266,633,186739,2769
"CentralBohemian",50,14.533333,580709,716,358,229634,3428
"SouthBohemian",49.083333,14.666667,337564,254,127,98739,1986
"Plzen",49.7475,13.3775,303062,68,34,97501,1922
"KarlovyVary",50.230556,12.8725,148769,88,44,44119,1486
"UstinadLabem",50.658333,14.041667,393383,112,56,121603,2633
"Liberec",50.685584,14.537747,219054,-58,-29,79956,1282
"HradecKralove",50.209167,15.831944,290743,-176,-88,103334,1825
"Pardubice",49.951136,15.795636,243559,108,54,92460,1444
"Vysocina",49.6079,15.580728,258422,244,122,79093,1378
"SouthMoravian",49.363161,16.643175,623706,118,59,153493,3431
"Olomouc",49.593889,17.250833,295404,-2,-1,91860,1711
"Zlin",49.29786,17.393135,285330,-12,-6,90250,1602
"Moravian-Silesian",49.988449,17.464759,568584,226,113,176637,3539
