Location;lat;lon;InitialVaccinated;InitialExposed;InitialInfections;InitialRecovered;InitialDead
BadenWurttemberg;485.376.479.881.008;904.919.890.633.846;250;75703;75703;0;0
Bayern;489.474.411.169.286;114.198.196.144.391;250;98294;98294;0;0
Berlin;525.015.315.807.511;134.018.502.448.472;250;18725;18725;0;0
Brandenburg;524.737.214.337.584;133.978.994.448.193;250;12312;12312;0;0
Bremen;531.086.782.673.333;878.595.091.230.648;250;4944;4944;0;0
Hamburg;535.446.402.817.372;100.277.980.519.056;250;11730;11730;0;0
Hessen;50.603.241.555.265;90.310.571.367.241;250;55799;55799;0;0
Mecklenburg-Vorpommern;537.230.439.554.691;125.166.322.861.253;250;9348;9348;0;0
Niedersachsen;527.655.268.038.809;916.201.888.792.321;250;74025;74025;0;0
Nordrhein-Westfalen;514.797.056.565.504;756.208.028.232.521;250;125214;125214;0;0
Rheinland-Pfalz;499.136.888.517.659;744.911.461.981.151;250;26268;26268;0;0
Saarland;493.843.676.831.266;695.313.549.678.885;250;9468;9468;0;0
Sachsen;510.523.347.000.456;133.485.703.685.553;250;17159;17159;0;0
Sachsen-Anhalt;520.131.930.849.028;117.006.910.062.035;250;9506;9506;0;0
Schleswig-Holstein;541.736.817.951.527;981.226.777.373.044;250;26947;26947;0;0
Thuringen;509.038.780.690.587;110.248.795.457.109;250;6193;6193;0;0
